"year","genre","platform","game_count"
2006,"action","gc","66"
2012,"action","3ds","351"
2012,"shooter","psv","18"
2001,"shooter","pc","1"
2005,"action","gc","44"
2014,"action","psp","12"
2006,"shooter","gba","6"
2013,"shooter","wiiu","25"
2006,"action","gba","60"
2014,"shooter","wiiu","4"
2006,"shooter","x360","96"
2007,"action","x360","140"
2014,"shooter","psv","4"
2014,"action","pc","56"
2013,"action","wiiu","65"
2015,"action","wii","21"
2006,"action","ps2","282"
2004,"action","gba","33"
2013,"shooter","3ds","5"
2013,"action","wii","10"
2011,"action","pc","126"
2001,"shooter","xb","4"
2000,"action","gb","1"
2001,"action","dc","1"
2008,"action","pc","75"
2005,"shooter","xb","74"
2012,"action","psv","180"
2011,"action","3ds","186"
2012,"action","ds","126"
2014,"action","x360","76"
2015,"action","wiiu","77"
2008,"action","wii","195"
2014,"action","xone","84"
2010,"action","ds","104"
2003,"shooter","ps2","42"
2013,"action","pc","55"
2011,"action","ps2","6"
2006,"shooter","ps3","12"
2007,"action","pc","25"
2003,"action","gc","58"
2008,"shooter","psp","5"
2011,"action","ps3","360"
2016,"action","ps3","66"
2011,"action","psv","24"
2006,"action","psp","156"
2000,"action","dc","1"
2007,"shooter","x360","100"
2016,"shooter","xone","60"
2001,"action","ps2","22"
2004,"shooter","xb","27"
2001,"shooter","ps2","19"
2013,"action","x360","135"
2015,"shooter","wiiu","7"
2007,"shooter","ps2","15"
2010,"shooter","ps3","38"
2011,"action","x360","270"
2000,"shooter","n64","3"
2008,"shooter","pc","50"
2007,"action","ps3","105"
2015,"action","ps3","252"
2000,"action","n64","10"
2000,"action","ps","26"
2008,"shooter","x360","110"
2000,"shooter","ps2","6"
2005,"shooter","psp","10"
2008,"action","x360","175"
2013,"action","ds","15"
2011,"shooter","psv","6"
2014,"shooter","pc","28"
2014,"shooter","ps4","28"
2015,"shooter","pc","35"
2005,"shooter","ps2","58"
2016,"shooter","x360","6"
2007,"shooter","psp","60"
2012,"shooter","3ds","9"
2013,"shooter","ps4","15"
2014,"action","psv","88"
2010,"shooter","pc","24"
2005,"action","ps2","122"
2013,"action","3ds","140"
2004,"shooter","ps2","30"
2008,"action","psp","70"
2001,"shooter","gba","4"
2005,"action","psp","18"
2006,"shooter","xb","60"
2008,"shooter","ds","45"
2009,"action","ps3","258"
2004,"action","gc","17"
2009,"shooter","pc","102"
2016,"action","ps4","222"
2006,"shooter","ps2","84"
2003,"shooter","gc","28"
2003,"action","gba","66"
2016,"action","psv","150"
2013,"shooter","x360","95"
2007,"action","xb","5"
2012,"shooter","wiiu","18"
2013,"shooter","xone","10"
2010,"shooter","wii","22"
2004,"shooter","pc","9"
2013,"action","ps4","10"
2010,"action","wii","76"
2013,"action","psv","70"
2016,"action","3ds","96"
2011,"shooter","ps3","162"
2013,"shooter","pc","55"
2005,"shooter","pc","18"
2003,"shooter","xb","56"
2005,"shooter","gc","14"
2015,"action","ps4","364"
2010,"shooter","psp","8"
2009,"shooter","x360","168"
2006,"action","x360","114"
2014,"action","wiiu","72"
2003,"action","pc","4"
2015,"action","3ds","266"
2000,"action","ps2","6"
2006,"action","ds","240"
2004,"action","ds","1"
2012,"action","pc","135"
2009,"action","x360","252"
2001,"action","gb","2"
2017,"action","psv","7"
2014,"action","wii","12"
2010,"action","pc","32"
2007,"shooter","pc","65"
2004,"action","xb","28"
2012,"shooter","x360","135"
2016,"shooter","ps3","6"
2013,"shooter","ps3","85"
2011,"shooter","x360","186"
2016,"shooter","wiiu","6"
2003,"shooter","gba","12"
2016,"action","x360","18"
2005,"shooter","gba","4"
2010,"shooter","ds","8"
2013,"shooter","psv","5"
2009,"action","wii","324"
2012,"action","wiiu","144"
2006,"action","wii","54"
2015,"action","xone","182"
2010,"action","x360","80"
2008,"action","ps2","150"
2004,"shooter","gc","12"
2009,"action","pc","108"
2005,"action","xb","90"
2001,"shooter","ps","8"
2009,"shooter","psp","24"
2012,"action","ps3","504"
2012,"action","psp","450"
2008,"shooter","ps3","110"
2009,"action","ds","378"
2007,"action","gba","10"
2006,"shooter","psp","66"
2014,"shooter","x360","44"
2012,"shooter","pc","81"
2004,"action","pc","1"
2009,"shooter","ps3","114"
2016,"shooter","pc","36"
2007,"action","gc","10"
2004,"shooter","gba","10"
2007,"action","wii","195"
2005,"action","gba","56"
2006,"shooter","wii","18"
2007,"action","psp","140"
2008,"shooter","ps2","30"
2010,"action","ps2","10"
2006,"action","pc","36"
2014,"action","3ds","96"
2009,"shooter","wii","78"
2006,"shooter","gc","6"
2011,"action","wii","174"
2005,"action","x360","10"
2007,"action","ps2","155"
2007,"action","ds","270"
2000,"shooter","ps","10"
2004,"action","ps2","44"
2009,"shooter","ps2","18"
2000,"shooter","dc","1"
2013,"action","xone","20"
2010,"action","psp","50"
2008,"action","ps3","150"
2009,"action","ps2","108"
2016,"shooter","ps4","78"
2014,"shooter","ps3","40"
2007,"shooter","ds","40"
2004,"action","psp","1"
2015,"shooter","x360","21"
2011,"shooter","3ds","24"
2003,"shooter","pc","8"
2012,"shooter","ps3","171"
2006,"action","ps3","18"
2015,"action","pc","112"
2006,"action","xb","78"
2014,"action","ds","4"
2016,"action","xone","102"
2001,"action","xb","4"
2003,"action","xb","66"
2003,"action","ps2","92"
2006,"shooter","ds","42"
2012,"action","wii","117"
2001,"action","n64","1"
2015,"action","psv","364"
2011,"shooter","wii","36"
2012,"action","x360","360"
2001,"action","gc","1"
2016,"action","pc","24"
2015,"shooter","ps3","21"
2011,"shooter","pc","126"
2013,"action","psp","30"
2005,"action","pc","8"
2015,"action","psp","21"
2008,"action","ds","290"
2009,"action","psp","204"
2006,"shooter","pc","24"
2016,"action","wiiu","30"
2011,"action","psp","96"
2007,"shooter","dc","5"
2005,"shooter","x360","6"
2001,"action","gba","17"
2015,"shooter","xone","77"
2011,"action","ds","180"
2010,"action","ps3","94"
2013,"action","ps3","185"
2010,"shooter","ps2","2"
2005,"shooter","ds","8"
2007,"shooter","ps3","75"
2014,"action","ps3","116"
2011,"shooter","ds","18"
2015,"shooter","ps4","77"
2014,"shooter","xone","40"
2009,"shooter","ds","42"
2001,"action","pc","1"
2015,"action","x360","98"
2005,"action","ds","36"
2014,"action","ps4","124"
2001,"action","ps","18"
2008,"shooter","wii","65"
2007,"shooter","wii","65"
2010,"shooter","x360","56"
