video_game_key,date_key
1,12
1,13
1,52
1,101
1,102
1,103
3,27
3,28
3,94
3,95
3,96
4,38
4,39
4,90
4,91
4,92
4,93
5,120
6,133
6,134
7,12
7,13
7,52
7,101
7,102
7,103
8,12
8,13
8,52
8,101
8,102
8,103
9,38
9,39
9,90
9,91
9,92
9,93
10,138
10,139
11,104
11,105
12,104
12,105
13,110
13,111
13,112
13,113
13,114
14,10
14,97
14,98
14,99
14,100
15,38
15,39
15,90
15,91
15,92
15,93
16,50
16,89
17,74
17,75
17,76
17,77
17,78
18,106
19,132
20,104
20,105
21,12
21,13
21,52
21,101
21,102
21,103
22,133
22,134
23,135
24,74
24,75
24,76
24,77
24,78
27,50
27,89
28,104
28,105
29,108
30,35
30,47
30,48
30,86
30,87
30,88
31,115
31,116
31,117
32,50
32,89
33,74
33,75
33,76
33,77
33,78
34,63
34,64
34,65
34,66
34,67
34,68
34,69
35,24
35,25
35,79
35,80
35,81
35,82
35,83
35,84
35,85
36,24
36,25
36,79
36,80
36,81
36,82
36,83
36,84
36,85
37,38
37,39
37,90
37,91
37,92
37,93
38,35
38,47
38,48
38,86
38,87
38,88
39,108
40,27
40,28
40,94
40,95
40,96
41,50
41,89
42,104
42,105
43,35
43,47
43,48
43,86
43,87
43,88
44,10
44,97
44,98
44,99
44,100
45,70
45,71
45,72
45,73
46,38
46,39
46,90
46,91
46,92
46,93
47,120
48,106
49,10
49,97
49,98
49,99
49,100
50,70
50,71
50,72
50,73
51,127
51,128
52,27
52,28
52,94
52,95
52,96
53,118
53,119
54,35
54,47
54,48
54,86
54,87
54,88
55,50
55,89
56,38
56,39
56,90
56,91
56,92
56,93
57,27
57,28
57,94
57,95
57,96
58,123
58,124
58,125
58,126
59,106
60,106
61,35
61,47
61,48
61,86
61,87
61,88
62,74
62,75
62,76
62,77
62,78
63,50
63,89
64,120
65,24
65,25
65,79
65,80
65,81
65,82
65,83
65,84
65,85
66,24
66,25
66,79
66,80
66,81
66,82
66,83
66,84
66,85
67,118
67,119
68,74
68,75
68,76
68,77
68,78
69,50
69,89
70,110
70,111
70,112
70,113
70,114
71,10
71,97
71,98
71,99
71,100
72,122
73,74
73,75
73,76
73,77
73,78
74,24
74,25
74,79
74,80
74,81
74,82
74,83
74,84
74,85
75,10
75,97
75,98
75,99
75,100
76,35
76,47
76,48
76,86
76,87
76,88
77,127
77,128
78,63
78,64
78,65
78,66
78,67
78,68
78,69
79,50
79,89
80,106
81,10
81,97
81,98
81,99
81,100
82,24
82,25
82,79
82,80
82,81
82,82
82,83
82,84
82,85
83,24
83,25
83,79
83,80
83,81
83,82
83,83
83,84
83,85
84,38
84,39
84,90
84,91
84,92
84,93
85,118
85,119
86,10
86,97
86,98
86,99
86,100
87,108
88,110
88,111
88,112
88,113
88,114
89,27
89,28
89,94
89,95
89,96
90,140
91,104
91,105
92,50
92,89
93,63
93,64
93,65
93,66
93,67
93,68
93,69
94,70
94,71
94,72
94,73
95,115
95,116
95,117
96,118
96,119
97,135
98,70
98,71
98,72
98,73
99,27
99,28
99,94
99,95
99,96
100,35
100,47
100,48
100,86
100,87
100,88
101,12
101,13
101,52
101,101
101,102
101,103
102,63
102,64
102,65
102,66
102,67
102,68
102,69
103,38
103,39
103,90
103,91
103,92
103,93
104,35
104,47
104,48
104,86
104,87
104,88
105,43
105,107
106,115
106,116
106,117
107,115
107,116
107,117
108,108
109,70
109,71
109,72
109,73
110,63
110,64
110,65
110,66
110,67
110,68
110,69
111,43
111,107
112,24
112,25
112,79
112,80
112,81
112,82
112,83
112,84
112,85
113,74
113,75
113,76
113,77
113,78
114,106
116,35
116,47
116,48
116,86
116,87
116,88
117,120
118,50
118,89
119,27
119,28
119,94
119,95
119,96
120,38
120,39
120,90
120,91
120,92
120,93
121,10
121,97
121,98
121,99
121,100
122,35
122,47
122,48
122,86
122,87
122,88
123,104
123,105
124,50
124,89
125,70
125,71
125,72
125,73
126,50
126,89
127,35
127,47
127,48
127,86
127,87
127,88
128,137
129,24
129,25
129,79
129,80
129,81
129,82
129,83
129,84
129,85
130,108
131,106
133,109
134,38
134,39
134,90
134,91
134,92
134,93
135,50
135,89
137,127
137,128
138,106
139,110
139,111
139,112
139,113
139,114
140,50
140,89
141,35
141,47
141,48
141,86
141,87
141,88
142,12
142,13
142,52
142,101
142,102
142,103
143,108
144,127
144,128
145,27
145,28
145,94
145,95
145,96
146,115
146,116
146,117
147,74
147,75
147,76
147,77
147,78
